,Country,Year,sex,age,suicides_no,population,suicides/100k pop,country-year, gdp_for_year ($) ,gdp_per_capita ($),generation,gdp_block($1e9),gdp_per_capita_block($1e9),Dystopia Residual,Economy (GDP per Capita),Family,Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Standard Error,Trust (Government Corruption),dystopiaResidualBlock,familyBlock,freedomBlock,generosityBlock,happinessRankBlock,happinessScoreBlock,trustBlock,healthBlock
0,Argentina,2015,male,75+ years,245,712691,34.38,Argentina2015,594749285413,14981,Silent,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
1,Argentina,2015,male,15-24 years,656,3500580,18.74,Argentina2015,594749285413,14981,Millenials,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
2,Argentina,2015,male,55-74 years,431,3011963,14.31,Argentina2015,594749285413,14981,Boomers,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
3,Argentina,2015,male,25-34 years,465,3289927,14.13,Argentina2015,594749285413,14981,Millenials,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
4,Argentina,2015,male,35-54 years,633,5166179,12.25,Argentina2015,594749285413,14981,Generation X,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
5,Argentina,2015,female,15-24 years,153,3394201,4.51,Argentina2015,594749285413,14981,Millenials,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
6,Argentina,2015,female,55-74 years,125,3520779,3.55,Argentina2015,594749285413,14981,Boomers,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
7,Argentina,2015,female,25-34 years,114,3235582,3.52,Argentina2015,594749285413,14981,Millenials,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
8,Argentina,2015,female,35-54 years,166,5301368,3.13,Argentina2015,594749285413,14981,Generation X,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
9,Argentina,2015,female,75+ years,27,1344980,2.01,Argentina2015,594749285413,14981,Silent,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
10,Argentina,2015,male,5-14 years,39,3672155,1.06,Argentina2015,594749285413,14981,Generation Z,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
11,Argentina,2015,female,5-14 years,19,3549219,0.54,Argentina2015,594749285413,14981,Generation Z,260+,9372 - 24874,2.8360000000000003,1.05351,1.24823,0.44974,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.04612,0.08484,2.53+,1.09+,0.40 - 0.52,0 - 0.14,0 - 40,6.29+,0.06 - 0.10,0.64 - 0.79
12,Armenia,2015,male,75+ years,12,61355,19.56,Armenia2015,10553337673,3775,Silent,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
13,Armenia,2015,male,55-74 years,16,231213,6.92,Armenia2015,10553337673,3775,Boomers,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
14,Armenia,2015,female,75+ years,5,100754,4.96,Armenia2015,10553337673,3775,Silent,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
15,Armenia,2015,male,35-54 years,15,356715,4.21,Armenia2015,10553337673,3775,Generation X,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
16,Armenia,2015,male,25-34 years,10,255540,3.91,Armenia2015,10553337673,3775,Millenials,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
17,Armenia,2015,female,55-74 years,5,297936,1.68,Armenia2015,10553337673,3775,Boomers,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
18,Armenia,2015,female,15-24 years,3,212010,1.42,Armenia2015,10553337673,3775,Millenials,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
19,Armenia,2015,female,35-54 years,4,412360,0.97,Armenia2015,10553337673,3775,Generation X,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
20,Armenia,2015,male,15-24 years,2,216876,0.92,Armenia2015,10553337673,3775,Millenials,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
21,Armenia,2015,female,25-34 years,2,274108,0.73,Armenia2015,10553337673,3775,Millenials,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
22,Armenia,2015,female,5-14 years,0,175417,0.0,Armenia2015,10553337673,3775,Generation Z,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
23,Armenia,2015,male,5-14 years,0,201051,0.0,Armenia2015,10553337673,3775,Generation Z,8.99 - 48.11,3447 - 9372,1.75873,0.7682100000000001,0.7771100000000001,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.04763,0.039,0 - 1.87,0.74 - 0.94,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.64 - 0.79
24,Armenia,2016,male,75+ years,12,61956,19.37,Armenia2016,10546135160,3788,Silent,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
25,Armenia,2016,male,55-74 years,16,237813,6.73,Armenia2016,10546135160,3788,Boomers,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
26,Armenia,2016,male,35-54 years,16,350633,4.56,Armenia2016,10546135160,3788,Generation X,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
27,Armenia,2016,male,15-24 years,5,202220,2.47,Armenia2016,10546135160,3788,Millenials,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
28,Armenia,2016,female,75+ years,2,102414,1.95,Armenia2016,10546135160,3788,Silent,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
29,Armenia,2016,female,55-74 years,6,308349,1.95,Armenia2016,10546135160,3788,Boomers,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
30,Armenia,2016,male,25-34 years,4,255665,1.56,Armenia2016,10546135160,3788,Millenials,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
31,Armenia,2016,female,35-54 years,3,408109,0.74,Armenia2016,10546135160,3788,Generation X,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
32,Armenia,2016,female,25-34 years,2,277452,0.72,Armenia2016,10546135160,3788,Millenials,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
33,Armenia,2016,female,15-24 years,1,195422,0.51,Armenia2016,10546135160,3788,Millenials,8.99 - 48.11,3447 - 9372,1.9786400000000002,0.8608600000000001,0.6247699999999999,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.18799999999999972,0.036160000000000005,1.87 - 2.20,0 - 0.74,0 - 0.28,0 - 0.14,119+,0 - 4.5,0 - 0.06,0.44 - 0.64
34,Australia,2015,male,35-54 years,944,3149299,29.97,Australia2015,1349034029453,60656,Generation X,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
35,Australia,2015,male,75+ years,181,673787,26.86,Australia2015,1349034029453,60656,Silent,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
36,Australia,2015,male,25-34 years,423,1762265,24.0,Australia2015,1349034029453,60656,Millenials,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
37,Australia,2015,male,55-74 years,457,2337430,19.55,Australia2015,1349034029453,60656,Boomers,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
38,Australia,2015,male,15-24 years,281,1608990,17.46,Australia2015,1349034029453,60656,Millenials,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
39,Australia,2015,female,35-54 years,294,3203643,9.18,Australia2015,1349034029453,60656,Generation X,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
40,Australia,2015,female,15-24 years,110,1526305,7.21,Australia2015,1349034029453,60656,Millenials,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
41,Australia,2015,female,25-34 years,119,1747715,6.81,Australia2015,1349034029453,60656,Millenials,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
42,Australia,2015,female,55-74 years,152,2411343,6.3,Australia2015,1349034029453,60656,Boomers,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
43,Australia,2015,female,75+ years,52,884347,5.88,Australia2015,1349034029453,60656,Silent,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
44,Australia,2015,female,5-14 years,8,1428159,0.56,Australia2015,1349034029453,60656,Generation Z,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
45,Australia,2015,male,5-14 years,6,1507502,0.4,Australia2015,1349034029453,60656,Generation Z,260+,24874+,2.26646,1.33358,1.30923,0.6512399999999999,0.43562,10,7.284,0.93156,Australia and New Zealand,0.04083,0.35636999999999996,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
46,Austria,2015,male,75+ years,214,290329,73.71,Austria2015,382065930308,46484,Silent,260+,24874+,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.8904200000000001,Western Europe,0.03751,0.18675999999999998,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
47,Austria,2015,male,55-74 years,294,915115,32.13,Austria2015,382065930308,46484,Boomers,260+,24874+,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.8904200000000001,Western Europe,0.03751,0.18675999999999998,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
48,Austria,2015,male,35-54 years,313,1279822,24.46,Austria2015,382065930308,46484,Generation X,260+,24874+,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.8904200000000001,Western Europe,0.03751,0.18675999999999998,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
49,Austria,2015,female,75+ years,70,461676,15.16,Austria2015,382065930308,46484,Silent,260+,24874+,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.8904200000000001,Western Europe,0.03751,0.18675999999999998,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
50,Austria,2015,male,25-34 years,78,590968,13.2,Austria2015,382065930308,46484,Millenials,260+,24874+,2.5332,1.33723,1.29704,0.62433,0.33088,13,7.2,0.8904200000000001,Western Europe,0.03751,0.18675999999999998,2.20 - 2.53,1.09+,0.52+,0.31+,0 - 40,6.29+,0.17+,0.79+
